scenario_id,machine_id,family,cycle,timestamp,load,sensor_reading,wear_index,health_index,quality_prob,quality_defect,failed_flag,RUL
S0,Motor_01,rotary,0,0.0,1.0083,0.422818,0.002033,0.997967,0.005,0,0,310
S0,Motor_01,rotary,1,1.0,1.313,0.667516,0.005488,0.994512,0.005,0,0,309
S0,Motor_01,rotary,2,2.0,1.2416,0.803391,0.008588,0.991412,0.005,0,0,308
S0,Motor_01,rotary,3,3.0,1.1547,0.676719,0.011278,0.988722,0.005001,0,0,307
S0,Motor_01,rotary,4,4.0,0.9002,0.563695,0.012917,0.987083,0.005001,0,0,306
S0,Motor_01,rotary,5,5.0,0.7256,0.402061,0.013983,0.986017,0.005001,0,0,305
S0,Motor_01,rotary,6,6.0,1.285,0.685451,0.017332,0.982668,0.005002,0,0,304
S0,Motor_01,rotary,7,7.0,0.7439,0.395782,0.018458,0.981542,0.005003,0,0,303
S0,Motor_01,rotary,8,8.0,1.3425,0.736866,0.022129,0.977871,0.005004,0,0,302
S0,Motor_01,rotary,9,9.0,1.093,0.722846,0.024571,0.975429,0.005006,0,0,301
S0,Motor_01,rotary,10,10.0,0.9772,0.480301,0.026528,0.973472,0.005007,0,0,300
S0,Motor_01,rotary,11,11.0,1.0529,0.729514,0.028804,0.971196,0.00501,0,0,299
S0,Motor_01,rotary,12,12.0,1.2112,0.759996,0.031823,0.968177,0.005013,0,0,298
S0,Motor_01,rotary,13,13.0,0.916,0.69538,0.033554,0.966446,0.005015,0,0,297
S0,Motor_01,rotary,14,14.0,0.7496,0.553564,0.034715,0.965285,0.005017,0,0,296
S0,Motor_01,rotary,15,15.0,0.8588,0.773321,0.036242,0.963758,0.005019,0,0,295
S0,Motor_01,rotary,16,16.0,1.2781,0.723877,0.039628,0.960372,0.005025,0,0,294
S0,Motor_01,rotary,17,17.0,0.7211,0.570164,0.040709,0.959291,0.005027,0,0,293
S0,Motor_01,rotary,18,18.0,0.7608,0.645321,0.041914,0.958086,0.005029,0,0,292
S0,Motor_01,rotary,19,19.0,1.2971,0.728264,0.04542,0.95458,0.005037,0,0,291
S0,Motor_01,rotary,20,20.0,1.0865,0.890439,0.047888,0.952112,0.005044,0,0,290
S0,Motor_01,rotary,21,21.0,0.915,0.785166,0.049643,0.950357,0.005049,0,0,289
S0,Motor_01,rotary,22,22.0,0.8975,0.705834,0.051334,0.948666,0.005054,0,0,288
S0,Motor_01,rotary,23,23.0,1.2548,0.893163,0.054645,0.945355,0.005065,0,0,287
S0,Motor_01,rotary,24,24.0,1.1378,0.710409,0.057375,0.942625,0.005076,0,0,286
S0,Motor_01,rotary,25,25.0,0.9231,0.808846,0.059178,0.940822,0.005083,0,0,285
S0,Motor_01,rotary,26,26.0,0.7705,0.60663,0.060435,0.939565,0.005088,0,0,284
S0,Motor_01,rotary,27,27.0,1.0157,0.792442,0.062623,0.937377,0.005098,0,0,283
S0,Motor_01,rotary,28,28.0,0.8118,0.874691,0.064024,0.935976,0.005105,0,0,282
S0,Motor_01,rotary,29,29.0,1.2205,0.941793,0.067194,0.932806,0.005121,0,0,281
S0,Motor_01,rotary,30,30.0,0.7507,0.687419,0.068396,0.931604,0.005128,0,0,280
S0,Motor_01,rotary,31,31.0,1.2129,0.997596,0.07154,0.92846,0.005146,0,0,279
S0,Motor_01,rotary,32,32.0,0.8511,0.836149,0.073093,0.926907,0.005156,0,0,278
S0,Motor_01,rotary,33,33.0,0.9993,0.729954,0.075236,0.924764,0.00517,0,0,277
S0,Motor_01,rotary,34,34.0,1.046,0.922743,0.077589,0.922411,0.005187,0,0,276
S0,Motor_01,rotary,35,35.0,0.8069,0.975624,0.078992,0.921008,0.005197,0,0,275
S0,Motor_01,rotary,36,36.0,1.224,0.974017,0.082225,0.917775,0.005222,0,0,274
S0,Motor_01,rotary,37,37.0,1.1128,0.999218,0.084905,0.915095,0.005245,0,0,273
S0,Motor_01,rotary,38,38.0,0.8052,0.765179,0.086312,0.913688,0.005257,0,0,272
S0,Motor_01,rotary,39,39.0,1.0561,0.96994,0.088735,0.911265,0.005279,0,0,271
S0,Motor_01,rotary,40,40.0,0.9254,1.008104,0.090599,0.909401,0.005297,0,0,270
S0,Motor_01,rotary,41,41.0,1.0497,1.005768,0.093003,0.906997,0.005322,0,0,269
S0,Motor_01,rotary,42,42.0,0.9195,0.953543,0.094851,0.905149,0.005341,0,0,268
S0,Motor_01,rotary,43,43.0,0.8519,0.857954,0.09644,0.90356,0.005359,0,0,267
